KA,ÃûÒå¹¦ÂÊ(kW),Ð¡ÂÖ×ªËÙ(r/min),´øÐÍ,»ù×¼¿í¶ÈBd,Hamin,Hfmin,²Û¼ä¾àe,Fmin,¦Ämin,Öá¿×¾¶d
1.2,7,960,B,14 / 14,3.5 / 3.5,10.8 / 10.8,19 / 19,11.5 / 11.5,7.5 / 7.5,32 / 32,

Ð¡ÂÖ/´óÂÖÖ±¾¶, ´«¶¯±È, ´ø»ù×¼³¤¶È, ÖÐÐÄ¾Ø, Ð¡ÂÖ°ü½Ç(¡ã), ´øËÙ(m/s), ´øµÄ¸ùÊý,½¨Òé´øÂÖ½á¹¹,²ÛÂÖ½Ç¦Õ(¡ã),×îÐ¡´øÂÖ¿íB,ÂÖì±¿í¶ÈL,×îÐ¡Íâ¾¶da,ÂÖì±Ö±¾¶d1,ÂÖÔµÄÚ¾¶D1,¸¹°åºñ¶ÈC',Ô¤¹ÀÃ«Å÷ÖÊÁ¿(Kg)
150 / 450,3,2700,865.68,160.144,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2700,866.261,160.158,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2870,951.793,161.941,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2870,952.282,161.95,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,2870,952.732,161.958,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,3200,1118.15,164.627,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,3200,1118.53,164.633,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,3200,1118.89,164.638,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
150 / 450,3,3200,1119.23,164.642,7.53982,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,157 / 457,64 / 64,113.4 / 413.4,9~15 / 9~15,5.81 / 15.5
160 / 450,2.8125,1950,471.288,144.744,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,1950,473.396,144.901,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,1950,475.172,145.032,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2180,591.689,151.918,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2180,592.998,151.98,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2300,654.141,154.599,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2300,655.146,154.638,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2500,756.038,158.023,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2500,756.834,158.046,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2500,757.549,158.066,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2700,858.196,160.639,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2700,858.782,160.652,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2870,944.317,162.404,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2870,944.806,162.414,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2870,945.256,162.422,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,2870,945.671,162.43,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,3200,1111.05,165.045,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,3200,1111.41,165.05,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,3200,1111.74,165.054,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
160 / 450,2.8125,3200,1112.05,165.058,8.04248,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,167 / 457,64 / 64,123.4 / 413.4,9~15 / 9~15,6.18 / 15.5
170 / 500,2.94118,1950,419.759,134.956,8.54513,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,177 / 507,64 / 64,133.4 / 463.4,9~15 / 9~15,6.56 / 17.1
170 / 500,2.94118,2180,537.04,144.793,8.54513,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,177 / 507,64 / 64,133.4 / 463.4,9~15 / 9~15,6.56 / 17.1
170 / 500,2.94118,2180,538.988,144.92,8.54513,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,177 / 507,64 / 64,133.4 / 463.4,9~15 / 9~15,6.56 / 17.1
170 / 500,2.94118,2300,600.672,148.523,8.54513,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,177 / 507,64 / 64,133.4 / 463.4,9~15 / 9~15,6.56 / 17.1
170 / 500,2.94118,2300,602.142,148.599,8.54513,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,177 / 507,64 / 64,133.4 / 463.4,9~15 / 9~15,6.56 / 17.1
170 / 500,2.94118,2500,703.436,153.121,8.54513,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,177 / 507,64 / 64,133.4 / 463.4,9~15 / 9~15,6.56 / 17.1
170 / 500,2.94118,2500,704.584,153.165,8.54513,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,177 / 507,64 / 64,133.4 / 463.4,9~15 / 9~15,6.56 / 17.1
170 / 500,2.94118,2500,705.609,153.204,8.54513,3,¸¹°å / ÂÖ·ø,34 / 38,61 / 61,64 / 64,177 / 507,64 / 64,133.4 / 463.4,9~15 / 9~15,6.56 / 17.1
170 / 500,2.94118,2700,806.53,156.557,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,2700,807.363,156.581,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,2870,893.119,158.83,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,2870,893.808,158.846,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,2870,894.439,158.861,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,3200,1060.02,162.163,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,3200,1060.55,162.172,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,3200,1061.05,162.18,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,3200,1061.51,162.188,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,3200,1061.94,162.195,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,3600,1262.33,165.022,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,3600,1262.71,165.026,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,3600,1263.06,165.03,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
170 / 500,2.94118,3600,1263.38,165.034,8.54513,2,¸¹°å / ÂÖ·ø,34 / 38,42 / 42,42 / 42,177 / 507,64 / 64,133.4 / 463.4,6~11 / 6~11,4.51 / 11.7
